id,trim,subTrim,condition,isOneOwner,mileage,age,color,disp_cont,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount, price 
4952,550,unsp,CPO,False,24983,4,unsp,4.6,Gasoline,NY,Mid,unsp,unsp,unsp,3," $66,900.00 "
4953,550,unsp,Used,False,55747,4,Gray,4.6,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,75," $44,850.00 "
4955,550,unsp,CPO,True,29201,3,Black,4.6,Gasoline,AR,WSC,Premium,Alloy,19,77," $66,700.00 "
4956,550,unsp,CPO,True,57542,4,Silver,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,68," $39,990.00 "
4957,550,unsp,Used,False,33050,4,Red,4.6,Gasoline,GA,SoA,unsp,Alloy,unsp,40," $53,988.00 "
4958,550,unsp,Used,False,24580,4,Black,4.6,Gasoline,MD,SoA,Harman Kardon,Premium,unsp,58," $51,900.00 "
4959,550,unsp,CPO,False,18114,4,Black,4.6,Gasoline,NY,Mid,unsp,unsp,unsp,1," $67,900.00 "
4962,550,unsp,CPO,False,11020,4,Silver,4.6,Gasoline,MI,ENC,unsp,unsp,unsp,56," $61,995.00 "
4966,550,unsp,Used,True,18620,4,White,4.6,Gasoline,AL,ESC,unsp,unsp,unsp,37," $49,995.00 "
4967,550,unsp,CPO,True,13513,3,Black,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,76," $63,900.00 "
4968,550,unsp,Used,False,22949,3,White,4.6,Gasoline,OH,ENC,Premium,Alloy,unsp,85," $63,991.00 "
4969,550,unsp,CPO,False,17035,3,Silver,4.6,Gasoline,MN,WNC,Harman Kardon,Alloy,unsp,67," $66,990.00 "
4970,550,unsp,CPO,True,28097,3,Gray,4.6,Gasoline,MD,SoA,Premium,Alloy,unsp,70," $61,960.00 "
4971,550,unsp,Used,False,43081,4,Silver,4.6,Gasoline,VA,SoA,Harman Kardon,Alloy,unsp,55," $46,777.00 "
4972,550,unsp,CPO,True,38358,4,Black,4.6,Gasoline,IL,ENC,Premium,Alloy,unsp,71," $53,998.00 "
4974,550,unsp,Used,True,18626,3,Silver,4.6,Gasoline,MA,New,Harman Kardon,Alloy,18,77," $70,998.00 "
4976,550,unsp,Used,False,46639,4,Green,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,71," $53,969.00 "
4977,550,unsp,Used,False,45750,4,Black,4.6,Gasoline,NY,Mid,unsp,unsp,unsp,31," $52,995.00 "
4978,550,unsp,Used,False,37360,4,Black,4.6,Gasoline,NJ,Mid,Harman Kardon,Alloy,unsp,75," $43,995.00 "
4979,550,unsp,Used,False,21281,4,Silver,4.6,Gasoline,MD,SoA,Premium,Alloy,unsp,71," $58,942.00 "
4980,550,unsp,CPO,True,20024,3,Black,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,81," $65,000.00 "
4983,400,Hybrid,Used,True,12675,6,Black,3.5,Hybrid,TX,WSC,Premium,Alloy,unsp,52," $41,995.00 "
4984,400,Hybrid,Used,False,50300,6,White,3.5,Hybrid,TX,WSC,unsp,Alloy,unsp,51," $39,999.00 "
4985,400,Hybrid,Used,False,49715,6,White,3.5,Hybrid,NY,Mid,unsp,Alloy,unsp,47," $37,995.00 "
4986,400,Hybrid,Used,False,62802,6,Gray,3.5,Hybrid,NJ,Mid,unsp,unsp,unsp,7," $36,936.00 "
4987,400,Hybrid,Used,False,14368,5,Silver,3.5,Hybrid,NJ,Mid,Harman Kardon,Alloy,unsp,84," $37,995.00 "
4989,400,Hybrid,Used,False,69122,6,White,3.5,Hybrid,GA,SoA,Premium,unsp,unsp,48," $35,999.00 "
4990,400,Hybrid,Used,False,32600,6,Black,3.5,Hybrid,PA,Mid,Harman Kardon,Alloy,19,44," $38,000.00 "
4991,600,unsp,New,False,13,1,Black,6,Gasoline,FL,SoA,Premium,unsp,unsp,93," $169,665.00 "
4996,63 AMG,unsp,New,False,13,1,Black,5.5,Gasoline,WI,ENC,Premium,Alloy,unsp,77," $173,505.00 "
4999,63 AMG,unsp,New,False,19,1,Gray,5.5,Gasoline,GA,SoA,unsp,unsp,20,22," $180,285.00 "
5000,63 AMG,unsp,New,False,15,2,Silver,5.5,Gasoline,FL,SoA,unsp,unsp,unsp,0," $146,125.00 "
5003,63 AMG,unsp,New,False,15,2,Silver,5.5,Gasoline,HI,Pac,Premium,Alloy,unsp,61," $153,730.00 "
5005,63 AMG,unsp,New,False,12,1,White,5.5,Gasoline,WA,Pac,Premium,Alloy,unsp,65," $186,980.00 "
5008,63 AMG,unsp,New,False,10,1,Black,5.5,Gasoline,CA,Pac,Premium,Alloy,20,79," $162,015.00 "
5009,63 AMG,unsp,New,False,12,1,White,5.5,Gasoline,NJ,Mid,Premium,Alloy,unsp,62," $161,760.00 "
5010,65 AMG,unsp,New,False,17,1,Black,6,Gasoline,CA,Pac,unsp,unsp,unsp,0," $225,681.00 "
5012,65 AMG,unsp,New,False,10,1,Black,6,Gasoline,TX,WSC,Bang Olufsen,Alloy,20,71," $227,715.00 "
5014,65 AMG,unsp,New,False,12,1,Blue,6,Gasoline,NJ,Mid,Premium,Alloy,20,74," $227,685.00 "
5015,65 AMG,unsp,New,False,10,1,Black,6,Gasoline,MA,New,unsp,unsp,20,1," $236,125.00 "
5016,unsp,unsp,New,False,6,1,Black,6,unsp,CA,Pac,Bang Olufsen,Alloy,20,67," $234,335.00 "
5019,550,unsp,New,False,119,2,White,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,0," $120,820.00 "
5020,550,unsp,New,False,5,1,Black,4.6,Gasoline,TX,WSC,unsp,unsp,unsp,1," $128,875.00 "
5021,550,unsp,New,False,5,1,White,4.6,Gasoline,GA,SoA,unsp,unsp,unsp,12," $116,350.00 "
5022,550,unsp,New,False,6,1,unsp,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,89," $114,740.00 "
5023,550,unsp,New,False,16,1,Silver,4.6,Gasoline,FL,SoA,unsp,Alloy,18,64," $112,955.00 "
