iyear,imonth,iday,city,country,region,provstate,nkill,nkillter
2014,12,9,Maramag,160,5,Bukidnon,10,0
2016,7,7,Warri North district,147,11,Delta,0,0
1996,3,13,Casablanca,136,10,,0,
1996,12,1,Phoenix,217,1,Arizona,0,
1996,5,18,Kokrajhar district,92,6,Assam,1,
2009,5,28,Peshawar,153,6,North-West Frontier Province,7,2
2016,3,2,Unknown,95,10,Kirkuk,1,0
2013,7,18,Balad,95,10,Saladin,1,0
1988,11,22,Madrid,185,8,Madrid,2,
1984,8,14,San Francisco Javier,61,2,,,
2012,5,17,Sarband,153,6,Khyber Pakhtunkhwa,0,0
2014,1,9,Unknown,155,10,Gaza Strip,0,0
2014,8,27,Nahrin district,4,6,Baghlan,3,2
2008,12,10,Joondalup,14,12,Western Australia,0,0
1999,8,7,Bijni,92,6,Assam,0,0
2007,2,21,Muang district,205,5,Yala (Province),0,0
2008,4,2,Kirkuk,95,10,Kirkuk,1,0
2011,5,1,Baqubah,95,10,Diyala,1,0
2009,3,13,Baqubah,95,10,Diyala,0,0
2012,7,1,Garissa,104,11,North Eastern,9,0
2005,4,30,Mosul,95,10,Nineveh,2,1
2001,3,10,Ballymena,603,8,Northern Ireland,0,0
2012,4,16,Hamad,18,10,Northern,1,0
1990,8,9,Srinagar,92,6,Jammu and Kashmir,0,
2006,7,4,Ade,42,11,Ouaddai,,
1992,7,13,Istanbul,209,10,Istanbul,0,
2006,4,20,Mssestas,6,10,Boumerdès,1,0
2012,6,25,Bannu,153,6,Khyber Pakhtunkhwa,0,0
1998,3,22,Thenia,6,10,Boumerdès,0,0
1988,1,4,Somotillo,145,2,,0,
1986,11,8,Lima,159,3,Lima,0,
1995,8,28,Bogota,45,3,Bogota,1,
1991,5,29,Vic,185,8,Catalonia,9,
2009,5,5,Luton,603,8,England,0,0
1986,1,19,Silvia,45,3,Cauca,8,
1994,1,25,Diyarbakir,209,10,Diyarbakir,1,
2010,7,23,Charkh,4,6,Logar,2,0
2011,2,27,Darra Adam Khel,153,6,Federally Administered Tribal Areas,0,0
1989,12,18,Prat de Llobregat,185,8,Catalonia,1,
2015,4,28,Chermalyk,214,9,Donetsk,1,0
1983,12,13,Santiago,43,3,Santiago Metropolitan,0,
2008,12,11,Malgobek,167,9,Ingushetia,0,0
1983,8,15,Bloomington,217,1,Indiana,0,0
2016,1,9,Malabog,160,5,Davao del Sur,0,0
2004,7,22,Kirkuk,95,10,At Tamim,0,0
2016,4,14,Rajnandgaon,92,6,Chhattisgarh,0,0
1994,5,3,Lima,159,3,Lima,0,
2002,12,13,Athens,78,8,Attica,0,0
1980,11,3,San Bartolome Perulapia,61,2,,2,
2010,9,9,Kurram district,153,6,Federally Administered Tribal Areas,10,0
2012,3,6,Krong Pinang,205,5,Yala,0,0
2009,10,16,Fallujah,95,10,Al Anbar,0,0
2013,7,29,Mahmudiyah,95,10,Babil,3,0
1990,1,13,Tripoli,110,10,North,0,0
1987,7,15,Gugulethu,183,11,Western Cape,0,0
2015,1,29,Port Said,60,10,Port Said,0,0
2008,7,20,Kiblawan,160,5,Davao Del Sur,0,0
2015,4,3,Baghdad,95,10,Baghdad,1,0
1994,3,13,London,603,8,England,0,
1988,11,19,Thondamanaru,186,6,Northern,1,
2011,12,7,Pachuca,130,1,Hidalgo,0,0
2011,1,28,Chegemskiy (District),167,9,Kabardino Balkariya,1,0
1974,10,28,San Juan,217,1,Puerto Rico,0,
2016,9,21,Dawr district,95,10,Saladin,0,0
2015,3,31,Tacloban,160,5,Leyte,0,0
2014,10,12,Mogadishu,182,11,Banaadir,0,0
1991,4,3,Athens,78,8,Attica,0,
2012,6,24,Chora district,4,6,Uruzgan,6,0
1985,7,1,Rome,98,8,Lazio,0,
1992,6,27,Islahiye District,209,10,Gaziantep,1,
1989,9,18,Papudo,43,3,Valparaiso,0,
1997,4,9,Binangun,93,5,,0,
1992,10,15,Ahmedpura,186,6,Unknown,10,
2016,5,30,Gizab district,4,6,Uruzgan,0,0
2012,8,3,Morghab district,4,6,Badghis,0,0
1992,9,10,Athens,78,8,Attica,0,
2016,8,13,Golkofa,147,11,Kaduna,6,0
2011,7,12,Karachi,153,6,Sindh,1,0
2013,6,28,Baghdad,95,10,Baghdad,3,0
1989,9,3,Kandy,186,6,Central,2,
1991,12,23,Juanjui,159,3,San Martin,10,
2006,7,4,Shela Bagh,153,6,Balochistan,2,
2009,10,16,Belfast,603,8,Northern Ireland,0,0
2013,5,11,Unknown,153,6,Unknown,0,0
2011,9,7,Quetta,153,6,Balochistan,23,2
2014,7,27,Eshkol regional council,97,10,Southern,0,0
2005,1,21,Baghdad,95,10,Baghdad,15,1
2008,1,8,Baghdad,95,10,Baghdad,0,0
1995,2,10,Unknown,92,6,Manipur,0,
1988,12,2,Beirut,110,10,Beirut,0,
2013,7,15,Buynaksk,167,9,Dagestan,0,0
1990,3,23,Cali,45,3,Valle del Cauca,0,
1992,4,12,Silvania,45,3,Cundinamarca,2,
2015,8,10,Fuah,200,10,Idlib,0,0
2014,10,31,Kobani,200,10,Aleppo,0,0
2012,7,13,Damascus,200,10,Damascus,0,0
2008,11,13,Latifiyah,95,10,Babil,1,0
2007,5,22,Ankara,209,10,Ankara,5,
2013,6,17,Maiduguri,147,11,Borno,13,0
1984,4,4,Corinto,45,3,Cauca,1,
2016,8,23,Rusamilae,205,5,Pattani,0,0
1996,12,23,Zaragoza,45,3,Antioquia,0,
1992,3,4,Nairobi,104,11,Nairobi,0,
2015,7,16,Baghdad,95,10,Baghdad,1,0
2011,6,13,Dungu,229,11,Kasai Oriental,2,0
2008,6,4,Jadran district,4,6,Paktia,0,0
1984,6,15,Unknown,92,6,Punjab,1,
1987,7,28,Valparaiso,43,3,Valparaiso,0,
1995,7,12,Myawadi,138,5,,3,
2016,2,2,Kanker district,92,6,Chhattisgarh,1,1
2003,5,5,Rugazi,34,11,Bubanza,25,23
2013,2,28,Mosul,95,10,Nineveh,1,0
1994,10,12,Myawadi,138,5,,6,
1983,4,14,Unknown,160,5,Abra,1,
2015,10,2,Bohe Suyak,160,5,Basilan,0,0
2013,6,30,Wadh,153,6,Balochistan,2,0
2000,4,25,Berne,199,8,Bern,0,0
1985,12,16,Santiago,43,3,Santiago Metropolitan,0,
2012,5,23,Saydabad district,4,6,Wardak,0,0
1992,8,21,Lula,98,8,Sardinia,0,
2008,9,21,Ondarroa,185,8,Basque Country,0,0
2000,6,6,Tokyo,101,4,Tokyo (Metropolis),0,0
1999,10,19,Aksarayskiy,167,9,Astrakhan,4,0
2015,1,19,Watangahtu,4,6,Laghman,2,0
2000,5,15,Mandi Pora,92,6,Jammu and Kashmir,5,0
2015,2,16,Saba al-Bor,95,10,Saladin,2,0
2015,9,28,Baghdad,95,10,Baghdad,2,0
1984,12,0,Tehran,94,10,Tehran,0,
2015,9,8,Salubunga,93,5,Central Sulawesi,1,0
2012,3,13,Baghdad,95,10,Baghdad,0,0
2014,8,5,Tripoli,113,10,Tripoli,18,0
1981,4,19,Campanario,45,3,Cordoba,0,
1990,1,13,Vina del Mar,43,3,Valparaiso,0,
1989,2,10,Hira,92,6,Karnataka,1,
2000,1,20,Bloomington,217,1,Indiana,0,0
2016,6,11,Kathmandu,141,6,Central,0,0
2007,12,4,Kabul,4,6,Kabul,1,1
2014,6,1,Benghazi,113,10,Benghazi,0,0
2005,1,7,Yalas Muang (District),205,5,Yala (Province),0,0
1981,5,24,Istanbul,209,10,Istanbul,4,
2013,4,8,Damascus,200,10,Damascus,14,1
1979,12,6,Lisburn,603,8,Northern Ireland,,
2010,5,17,Ezo,195,11,West Equatoria,3,0
2016,12,25,Baghdad,95,10,Baghdad,3,0
2013,7,17,Mogadishu,182,11,Banaadir,,0
1984,8,26,Unknown,69,8,Corsica,0,
1978,12,29,New York City,217,1,New York,0,
2015,1,29,Gaza,155,10,Gaza Strip,0,0
1999,11,18,Istanbul,209,10,Istanbul,0,0
1977,3,3,Belfast,603,8,Northern Ireland,2,
2014,12,29,Hadithah,95,10,Al Anbar,30,30
1992,6,25,Jenin,155,10,West Bank,4,
2014,3,31,Sheikh Zuweid,60,10,North Sinai,3,3
1988,6,17,Malimbada,186,6,Southern,1,
2011,7,21,Landi Kotal,153,6,Federally Administered Tribal Areas,0,0
2012,5,28,Unknown,4,6,Helmand,1,0
1983,7,4,ayacucho,159,3,Ayacucho,1,
2012,4,13,Gereshk,4,6,Helmand,1,0
2016,4,25,Sibulan,160,5,Davao del Sur,1,0
1984,1,15,Tyre,110,10,South,0,
1997,10,4,Havana,51,2,,0,
1996,4,9,Unknown,19,6,Unknown,0,
1988,8,5,Unknown,160,5,Albay,0,
2013,2,8,Mand,153,6,Balochistan,2,0
2014,4,1,Juntas de Birmania,45,3,Cauca,0,0
1999,12,11,Chiffa,6,10,Algiers (Province),15,0
2013,5,20,Yusufiyah,95,10,Babil,,0
2013,11,17,Kharan district,153,6,Balochistan,1,0
1987,6,7,Tiaong,160,5,Unknown,1,
2014,9,6,Mariupol,214,9,Donetsk,1,0
2014,10,30,Bani-Bangou,146,11,Tillaberi,0,0
2015,8,14,Kohsan district,4,6,Herat,0,0
1990,4,30,Santiago,43,3,Santiago Metropolitan,0,
1980,4,22,La Concepcion,156,2,,0,
2016,4,11,Falahat,95,10,Al Anbar,4,0
1989,11,15,Upper Siring,160,5,Unknown,0,
1998,10,30,Bouchrahil,6,10,Medea (Province),6,0
1991,1,20,El Refugio,61,2,,0,
2011,7,18,Bara,153,6,Khyber Pakhtunkhwa,1,0
1996,12,15,Cavite,160,5,Cavite,1,
1987,6,20,Darjeeling,92,6,West Bengal,0,
1988,3,14,Jhangerian,92,6,Punjab,4,
2016,11,19,Koro,123,11,Mopti,,0
2015,4,1,Pir Koh,153,6,Balochistan,0,0
2010,2,15,Ordzhonikidzevskaya,167,9,Ingushetia,0,0
2009,9,16,Hayatabad,153,6,North-West Frontier Province,0,0
2010,7,26,Ghorband district,4,6,Parwan,6,0
1995,6,28,Kebethegollawa,186,6,North Central,10,
2004,5,9,Grozny,167,9,Chechnya (Republic),24,0
1985,12,23,Lima,159,3,Lima,0,
2007,4,11,Algiers,6,10,Algiers (Province),30,2
2012,9,27,Karachi,153,6,Sindh,1,0
1997,8,6,Canasgordas,45,3,Antioquia,1,
2016,5,11,Sadadah,113,10,Misrata,6,2
2014,9,23,Hawijah district,95,10,Kirkuk,0,0
1997,2,7,Datu Piang,160,5,Maguindanao,4,
1997,8,21,Souhane,6,10,,64,
1977,10,11,New York City,217,1,New York,0,
1989,10,10,Huancayo,159,3,Junin,0,
2008,3,13,Zab,95,10,Kirkuk,4,1
1997,6,16,Algiers,6,10,,5,
2009,8,3,Bach,15,8,Styria,0,0
2015,11,23,Jerusalem,97,10,Jerusalem,1,1
2014,11,2,Chaman,153,6,Balochistan,0,0
2013,3,29,Kirkuk,95,10,Kirkuk,0,0
1983,6,26,Sultanpur Lodhi,92,6,Punjab,1,
2013,5,6,Munger district,92,6,Bihar,0,0
2008,3,19,Kandahar,4,6,Kandahar,0,0
2006,9,8,Vavuniya,186,6,Northern,0,0
2008,4,26,Tipaimukh,92,6,Manipur,0,0
2016,5,8,Taizz,228,10,Taizz,2,0
1992,10,29,Rihane,110,10,South,0,
1987,5,20,Johannesburg,183,11,Gauteng,3,0
1972,6,26,Newry,603,8,Northern Ireland,1,
2014,7,14,Harardhere,182,11,Mudug,,0
1990,6,18,Srinagar,92,6,Jammu and Kashmir,6,
2015,11,24,Cizre,209,10,Sirnak,1,0
2016,6,20,Aleppo,200,10,Aleppo,,0
2014,1,14,Baghdad,95,10,Baghdad,2,0
1999,11,14,El Khardja,6,10,El Khardja,6,0
2013,7,4,Wana,153,6,Federally Administered Tribal Areas,0,0
2015,7,2,Unknown,45,3,Meta,0,0
2008,11,13,Fallujah,95,10,Al Anbar,0,0
1981,12,27,Remedios,45,3,Antioquia,1,
1984,2,9,Errenteria,185,8,Basque Country,,
2014,10,25,Khwaja Sabz Posh district,4,6,Faryab,4,4
2013,8,2,Chuap,205,5,Narathiwat,1,0
1983,2,26,Hebron,155,10,West Bank,0,
2012,3,25,Bagumbayan,160,5,Sultan Kudarat,0,0
2007,3,29,Baghdad,95,10,Baghdad,2,0
1980,1,20,Madrid,185,8,Madrid,0,
2016,4,4,Mushahidah,95,10,Saladin,4,1
2016,4,4,Abu Ghraib,95,10,Al Anbar,,
2016,6,23,Dawr district,95,10,Saladin,1,0
1978,1,5,Rome,98,8,Lazio,0,
1974,6,3,New York City,217,1,New York,,
2012,11,11,Vitebsk,35,9,Vitebsk,0,0
1988,5,13,Santiago,43,3,Santiago Metropolitan,0,
2016,1,9,Shabramant district,60,10,Giza,2,0
1982,1,12,San Jose Guayabal,61,2,,,
1992,2,6,Madrid,185,8,Madrid,5,
1994,5,16,Vilcashuaman,159,3,Ayacucho,0,0
2009,6,23,Unknown,92,6,Orissa,0,0
2010,9,18,Dawlatabad,4,6,Faryab,0,0
1995,12,16,Karachi,153,6,Sindh,1,
1982,2,20,Dublin,96,8,Dublin,1,
1983,11,11,Sachapite,159,3,Huancavelica,0,
1985,5,28,Luxembourg,116,8,Luxembourg,0,
1992,4,13,Soweto,183,11,Gauteng,2,
2014,10,8,Bagram,4,6,Parwan,0,0
2009,2,28,Ashkelon,97,10,Southern,0,
1973,10,7,Milan,98,8,Lombardy,0,
2015,7,1,Yusufiyah,95,10,Babil,2,0
2015,12,9,Rafah,60,10,North Sinai,1,0
1972,12,3,Belfast,603,8,Northern Ireland,1,
1988,9,9,Unknown,139,11,Unknown,4,
1994,4,25,Unknown,183,11,Unknown,0,
2013,8,2,Alhmeirah,95,10,Kirkuk,2,0
1984,9,21,Dannhauser,183,11,KwaZulu-Natal,,
1979,10,14,Guatemala city,83,2,,0,
2013,9,25,Hawijah,95,10,Kirkuk,4,0
1975,10,30,Belfast,603,8,Northern Ireland,1,
2013,5,25,Lashkar Gah,4,6,Helmand,0,0
2011,4,14,Masayi district,4,6,Kabul,1,1
2013,6,8,Mogasishu,182,11,Banaadir,1,0
1982,6,14,New Delhi,92,6,Delhi,1,
2000,9,26,Argun,167,9,Chechnya (Republic),1,
2013,6,10,Mosul,95,10,Nineveh,5,0
2005,1,3,Banda Aceh City,93,5,Aceh (Province),3,0
2005,4,8,Puerto Rico,45,3,Caqueta,1,0
1972,11,27,Belfast,603,8,Northern Ireland,1,
2013,9,30,Nahri Saraj district,4,6,Helmand,13,13
2014,3,13,Baghdad,95,10,Baghdad,0,0
2011,12,10,Kishtwar district,92,6,Jammu and Kashmir,1,0
2016,9,21,Ankara,209,10,Ankara,0,0
2008,11,12,Baghdad,95,10,Baghdad,12,0
2007,6,7,Sonari,92,6,Assam,0,0
1989,9,8,Icel,209,10,Mersin,0,
2014,1,7,Baqubah,95,10,Diyala,1,0
2015,5,17,Panjgur district,153,6,Balochistan,0,0
2015,1,5,Rubaydah,95,10,Kirkuk,,0
2014,4,21,Baqubah,95,10,Diyala,1,0
2014,10,22,Sibida,92,6,Odisha,,0
1990,8,12,Unknown,186,6,Unknown,37,
1987,6,2,Abisinia,145,2,,0,
1980,2,2,Aleppo,200,10,Aleppo,1,
2008,8,8,Miljevac,50,9,Karlovacka,0,0
2007,8,13,Fahraj,94,10,Kerman,0,0
1984,8,10,Trujillo,159,3,La Libertad,0,
2010,10,8,Tippapur,92,6,Andhra pradesh,1,0
2008,6,24,Baghdad,95,10,Baghdad,0,0
2014,6,1,Baghdad,95,10,Baghdad,1,0
1997,5,8,Rudna,161,9,,1,
1997,11,8,Bongabong,160,5,Oriental Mindoro,7,
1994,8,26,Ajaccio,69,8,Corsica,0,
2011,4,4,Baghdad,95,10,Baghdad,1,0
2008,10,7,Mogadishu,182,11,Banaadir,20,0
1989,10,17,Rome,98,8,Lazio,0,
1995,9,4,Karachi,153,6,Sindh,0,
2016,10,25,Mastung,153,6,Balochistan,4,0
1989,11,12,Peshawar,153,6,North-West Frontier Province,0,
1988,5,6,Crucero,159,3,Puno,7,
2006,2,7,Wana,153,6,Federally Administered Tribal Areas,0,0
2008,4,20,Cookstown,603,8,Northern Ireland,0,0
1998,3,3,Miraflores,45,3,Boyaca,0,0
1983,11,18,Cardenas,145,2,,8,
1991,6,12,Lima,159,3,Lima,0,
2016,7,11,Laantabuur,182,11,Lower Shebelle,21,13
2004,9,15,Ankara,209,10,Ankara,0,0
2013,5,27,Karachi,153,6,Sindh,0,0
2014,7,28,Maharabi,92,6,Manipur,0,0
2001,3,21,Skopje,118,9,Skopje (Municipality),2,0
1994,3,7,Dairut,60,10,,0,
2010,9,1,Baghdad,95,10,Baghdad,1,0
2012,11,4,Lahij,228,10,Lahij,0,0
2014,6,5,Baghdad,95,10,Baghdad,1,0
2015,5,3,Julmi,92,6,Jharkhand,0,0
1976,1,21,Rome,98,8,Lazio,0,
1990,3,15,Unknown,61,2,San Vicente,0,
2004,1,1,Kfar Aza,97,10,Southern,0,0
1996,3,21,Donnybrook,183,11,KwaZulu-Natal,11,
1994,6,17,Hebron,155,10,West Bank,0,
1995,10,22,Akoupe,99,11,Agneby,0,
1991,12,3,San Antonio del Prado,45,3,Antioquia,5,
1979,12,5,Porrillo,61,2,,1,
2015,6,8,Mardi,1004,11,Western Equatoria,,0
1985,6,20,Santiago,43,3,Santiago Metropolitan,,
1988,10,26,Berlin,61,2,,0,
2014,5,28,Wasta,60,10,Beni Suef,0,0
1980,6,8,Gultepe,209,10,Izmir,1,
2013,5,5,Arish,60,10,North Sinai,1,0
2016,1,27,Upper Tungawan,160,5,Zamboanga Sibugay,1,0
2015,7,12,Sandana,153,6,Federally Administered Tribal Areas,2,0
1979,11,4,Newry,603,8,Northern Ireland,0,
2016,12,30,Dara Morghab,4,6,Ghor,0,0
2014,7,25,Aleppo,200,10,Aleppo,4,0
1997,9,28,Chebli,6,10,,48,
2010,2,18,Baghdad,95,10,Baghdad,0,0
2014,9,26,El Doce,45,3,Antioquia,0,0
2011,6,18,Ramadi,95,10,Al Anbar,1,0
2014,8,25,Kathmandu,141,6,Central,0,0
2015,12,14,Newtownabbey,603,8,Northern Ireland,0,0
2001,8,13,Netzarim,155,10,Gaza Strip,0,0
1981,1,9,Unknown,185,8,Unknown,0,
1991,12,17,Chonguene,137,11,Gaza,25,
2012,9,5,Jandol,153,6,Khyber Pakhtunkhwa,1,1
2016,12,7,Sukma,92,6,Chhattisgarh,0,0
1984,1,27,Londonderry,603,8,Northern Ireland,0,
2008,6,27,Kabal,153,6,North-West Frontier Province,0,0
1997,10,8,Caracas,222,3,Caracas,0,
1994,10,7,Hebron,155,10,West Bank,1,
2015,10,15,Zerkoh,4,6,Herat,0,0
2014,2,13,Kismayo,182,11,Lower Juba,,
2013,12,22,Qush Tepa district,4,6,Jawzjan,1,0
2015,5,10,Tigabon,160,5,Zamboanga Sibugay,1,0
2011,11,1,Santiago,43,3,Santiago Metropolitan,0,0
1994,9,27,Kafr Facus,110,10,Unknown,0,
2014,4,2,Baleguda,92,6,Odisha,1,0
2013,3,21,Abu al Khaseeb,95,10,Basra,1,0
2008,6,14,Bonny,147,11,Rivers,0,0
1995,5,22,Karachi,153,6,Sindh,1,
2009,9,9,Nazran,167,9,Ingushetia,0,0
2015,12,2,Belfast,603,8,Northern Ireland,0,0
2014,12,30,Baghdad,95,10,Baghdad,1,0
2013,2,19,Jamrud,153,6,Khyber Pakhtunkhwa,0,0
2010,12,20,Palamu district,92,6,Jharkhand,0,0
2010,11,1,Athens,78,8,Attica,0,0
1989,5,4,Mdantsane,183,11,Eastern Cape,0,
2003,12,24,Arbil,95,10,Arbil,4,1
1987,8,16,Unknown,83,2,,0,
1981,6,10,Majes,159,3,Arequipa,0,
2015,5,14,Nahrawan,95,10,Diyala,2,0
1991,3,20,Istanbul,209,10,Istanbul,0,
1986,1,20,Cerro de Pasco,159,3,Pasco,0,
1974,5,22,Liege,21,8,Wallonia,0,
2009,1,18,Mingora,153,6,North-West Frontier Province,2,0
2012,11,5,Khan Tepa,4,6,Logar,3,3
1977,8,6,Belfast,603,8,Northern Ireland,0,
2010,3,6,Bara,153,6,North-West Frontier Province,1,0
1985,7,10,Lima,159,3,Lima,0,
1999,8,4,Veppankulam,186,6,Eastern,15,1
2014,10,22,Gogdara,153,6,Khyber Pakhtunkhwa,0,0
1992,5,30,Mabalacat City,160,5,Pampanga,1,
2015,11,18,Ajdabiya,113,10,Wahat,1,0
1985,5,3,Trujillo,159,3,La Libertad,0,
2016,6,23,Payapag,160,5,Surigao del Norte,1,0
2005,1,10,Nazran,167,9,Ingushetia (Republic),0,0
2013,5,4,Urdaneta,160,5,Pangasinan,0,0
1977,9,2,San Francisco,217,1,California,0,
1994,11,19,Karachi,153,6,Sindh,7,
2011,1,21,Saluka,92,6,West Bengal,1,0
2013,5,2,Khuzdar district,153,6,Balochistan,0,0
1981,11,30,San Salvador,61,2,,0,
2013,10,7,Maydan Shahr,4,6,Wardak,3,0
2014,9,11,Unknown,4,6,Unknown,4,0
2012,4,12,Bordumsa,92,6,Assam,0,0
2016,1,28,Donetsk,214,9,Donetsk,,0
1982,5,25,Unknown,61,2,Cabañas,0,
1978,6,7,Chicago,217,1,Illinois,0,0
1997,6,7,Dili,93,5,,0,
2015,9,12,Qarabagh district,4,6,Kabul,2,2
2013,4,15,Unknown,228,10,Ad Dali,0,0
1992,7,3,Panama City,156,2,,0,
2014,3,15,Magpet,160,5,North Cotabato,4,2
2014,5,5,Khogyani district,4,6,Nangarhar,15,15
1986,3,26,Valparaiso,43,3,Valparaiso,0,
1991,3,30,Luango,8,11,Unknown,0,
1986,8,13,Huancavelica,159,3,Huancavelica,0,
2012,6,22,Baraki Rajan,4,6,Logar,3,1
1978,12,12,Lisburn,603,8,Northern Ireland,0,
1971,5,4,Chico,217,1,California,0,0
1995,4,10,Hengelo,142,8,Overijssel,0,
2009,1,28,Lamitan,160,5,Basilan,0,0
2016,11,15,Athy,96,8,Kildare,0,0
2001,3,20,Gudermes,167,9,Chechnya (Republic),0,0
2006,9,13,Baghdad,95,10,Baghdad,14,0
2006,7,10,Zemmouri,6,10,Boumerdès,1,0
1980,1,22,Istanbul,209,10,Istanbul,,
1985,5,26,Puente Piedra,159,3,Lima,1,
2014,1,23,Abu Ghraib,95,10,Al Anbar,2,0
2014,5,27,Peshawar,153,6,Khyber Pakhtunkhwa,1,0
1995,10,27,Karachi,153,6,Sindh,0,
2014,8,13,Matallah,60,10,North Sinai,1,0
2014,7,3,Benghazi,113,10,Benghazi,0,0
2011,8,29,Swabi,153,6,Khyber Pakhtunkhwa,0,0
1984,8,10,Huancavelica,159,3,Huancavelica,0,
2015,11,13,Al-Tawila,113,10,Sirte,0,0
2004,7,8,Samarra,95,10,Saladin,14,4
1975,10,2,Salamanca,185,8,Salamanca,0,
1996,10,15,Unknown,45,3,Antioquia,0,
2007,10,29,Baqubah,95,10,Diyala,0,0
2016,7,27,Kamunuan,160,5,Davao del Norte,1,0
1984,10,23,Santa Rosa,159,3,Lambayeque,1,
1990,4,30,Istanbul,209,10,Istanbul,0,
2015,5,15,Tse Atakpa,147,11,Benue,1,0
1983,5,9,Placitas,61,2,,,
2016,3,17,Ariel,155,10,West Bank,2,2
1986,5,31,Aretxabaleta,185,8,Basque Country,,
2010,11,3,Jhargam,92,6,West Bengal,1,0
2013,9,8,Diyarbakir,209,10,Diyarbakir,0,0
2014,11,29,Senapati district,92,6,Manipur,0,0
1985,10,17,Medellin,45,3,Antioquia,0,
1981,1,8,Florencia,45,3,Caqueta,2,
2014,8,28,Vlore,5,9,Vlore,1,0
2013,6,3,Quezon City,160,5,Metropolitan Manila,0,0
2007,7,16,Dera Ismail Khan,153,6,North-West Frontier Province,21,1
2014,1,1,Campo Alegre,45,3,Norte de Santander,0,0
1994,3,10,Yarimtas,209,10,Batman,10,
2016,10,5,Ladysmith,183,11,KwaZulu-Natal,1,0
2013,11,4,Bunagana,229,11,North Kivu,4,0
2016,7,25,Sheikh Zuweid,60,10,North Sinai,1,0
1989,8,11,Quinches,159,3,Lima,4,
2014,8,28,Al-Rahwe,110,10,Beqaa,1,
2005,1,31,Rangae (District),205,5,Narathiwat (Province),1,0
2012,8,9,Siraha district,141,6,Eastern,0,0
1995,6,22,Karachi,153,6,Sindh,0,
1987,4,14,Lima,159,3,Lima,0,
2002,4,11,Unknown,208,10,Djerba,10,1
2014,9,21,Sanaa,228,10,Amanat Al Asimah,0,0
1992,7,3,Unknown,209,10,Sirnak,1,
2015,10,8,Baghdad,95,10,Baghdad,0,0
2014,9,11,Yaring district,205,5,Pattani,0,0
1987,9,30,Santiago,43,3,Santiago Metropolitan,0,
1996,1,29,Markaba,110,10,An Nabatiyah,2,
2002,8,15,Skopje,118,9,Skopje (Municipality),0,0
2012,11,28,Rann,147,11,Borno,5,0
1990,1,16,Srinagar,92,6,Jammu and Kashmir,1,
2009,3,7,Besikduzu,209,10,Trabzon,0,0
2005,3,22,Bolan District,153,6,Balochistan,0,0
2016,7,4,Jeddah,173,10,Makkah,1,1
1986,12,12,Killen,603,8,Northern Ireland,1,
2016,8,5,Imphal,92,6,Manipur,0,0
1987,7,24,Medellin,45,3,Antioquia,0,
1994,12,8,Dhaka,19,6,Dhaka,0,
1988,4,9,Lima,159,3,Lima,1,
2015,3,19,An Nawfaliyah,113,10,Sirte,12,0
2012,11,15,Nehru Park,92,6,Jammu and Kashmir,1,0
1970,4,5,Trona,217,1,California,0,0
1980,1,31,Hebron,155,10,West Bank,1,
1982,9,13,Unknown,61,2,,,
