iyear,imonth,iday,city,country,region,provstate,nkill,nkillter
2011,10,9,Baghdad,95,10,Baghdad,0,0
1996,4,25,Unknown,92,6,Assam,5,
2013,11,10,Gereshk,4,6,Helmand,3,3
2016,11,14,Rutshuru,229,11,North Kivu,2,0
1992,2,6,Azzun,155,10,West Bank,0,
2014,5,16,Kabul,4,6,Kabul,0,0
2009,12,27,Baghdad,95,10,Baghdad,1,0
2014,8,23,Kach Phattak,153,6,Khyber Pakhtunkhwa,0,0
1977,2,19,Konya,209,10,Konya,,
2016,2,16,Hamidhiyah,95,10,Al Anbar,0,0
2015,6,26,Aden,228,10,Adan,1,0
2010,5,14,Baghdad,95,10,Baghdad,4,0
2016,4,21,Mosul,95,10,Nineveh,250,0
1994,1,26,Khan Yunis,155,10,Gaza Strip,,
1997,5,25,Dundalk,96,8,Louth,0,
2009,11,24,Narathiwat,205,5,Narathiwat,1,0
1987,5,25,Chalhuanca district,159,3,Apurimac,0,
1984,11,13,San Agustin,61,2,,25,
1990,6,4,Santa Ana,61,2,,0,
2011,8,2,Baghdad,95,10,Baghdad,0,0
2014,6,1,Bijapur district,92,6,Chhattisgarh,1,0
1984,7,4,Lima,159,3,Lima,0,0
2014,8,3,Sbeitla,208,10,Kasserine,0,0
1972,12,11,New York City,217,1,New York,0,
2013,10,10,Guapo,207,2,Point Fortin,0,0
1992,12,7,Belvedere-Campomoro,69,8,Corsica,0,
1987,5,17,Madrid,185,8,Madrid,,
2015,3,26,Mekhtar,153,6,Balochistan,1,0
2012,5,17,Badaber,153,6,Khyber Pakhtunkhwa,1,0
2014,6,3,Unknown,209,10,Van,0,0
1986,4,23,Lima,159,3,Lima,2,
2011,10,23,Tikrit,95,10,Saladin,2,0
2016,2,6,Albu Shejel,95,10,Al Anbar,0,0
2014,5,4,Kunduz,4,6,Kunduz,1,0
1990,10,27,Manila,160,5,Metropolitian Manila,2,
2008,11,16,Kohbarba Rasulpur,92,6,Bihar,4,0
2015,8,11,Jalalabad,4,6,Nangarhar,0,0
1982,5,10,Chupaca,159,3,Junin,0,
1999,1,3,Raiwind,153,6,Punjab,4,0
1979,1,22,Rome,98,8,Lazio,0,
1995,7,5,Bugarama,34,11,Muramvya,0,
1985,8,4,Luabo,137,11,Zambezia,0,
2014,5,30,Cairo,60,10,Cairo,1,1
2013,7,21,Arihah,200,10,Idlib,20,0
2014,9,9,Mogadishu,182,11,Banaadir,,0
2015,11,9,Al-Halabisah,95,10,Al Anbar,0,0
1978,7,6,Algrange,69,8,Moselle,0,
1989,11,29,Londonderry,603,8,Northern Ireland,0,
1990,7,2,A Coruna district,185,8,Galicia,0,
2011,4,25,Chama,92,6,Jharkhand,1,0
2010,3,2,Mosul,95,10,Nineveh,0,0
1974,2,24,Boulder,217,1,Colorado,0,0
2014,9,1,Shindand district,4,6,Herat,1,0
1991,8,28,Markethill,603,8,Northern Ireland,0,
1995,1,29,Thessaloniki,78,8,Central Macedonia,0,
2009,3,16,Wajid,182,11,Bakool,0,0
1996,5,18,Kokrajhar district,92,6,Assam,1,
1970,5,26,Oxford,217,1,North Carolina,0,0
2006,1,5,Valaichchenai,186,6,Eastern,1,0
1980,4,7,Unknown,110,10,South,2,
2013,11,28,Tuz Khormato,95,10,Saladin,3,0
2009,8,14,Istanbul,209,10,Istanbul,1,0
2014,7,4,Eker,18,10,Central,1,0
1998,10,16,Oued Hamama,6,10,Relizane (Province),4,0
2011,11,29,Mahmudiyah,95,10,Babil,0,0
2012,7,26,Cork,96,8,Cork,0,0
1980,10,15,Belfast,603,8,Northern Ireland,2,2
2013,1,17,Dujail,95,10,Saladin,6,0
1990,11,5,New York City,217,1,New York,1,
1991,5,23,Ankara,209,10,Ankara,1,
1990,3,19,Los Encuentros,83,2,,1,
1982,8,19,Rome,98,8,Lazio,0,
1972,8,31,Belfast,603,8,Northern Ireland,1,
1986,6,20,Lima,159,3,Lima,0,
1976,6,24,Washington,217,1,District of Columbia,0,
2016,6,3,Baghdad,95,10,Baghdad,2,0
2005,8,8,Mazu,4,6,Ghazni,1,0
1980,9,18,San Miguel,61,2,,0,
2015,2,12,Donetskyi,214,9,Luhansk,0,0
2016,6,4,Unknown,229,11,Bas-Uele,,0
1986,6,28,Cuenca,59,3,Azuay,1,
2016,1,13,Baghdad,95,10,Baghdad,2,0
2016,5,8,Husseiniyah,95,10,Diyala,2,0
1978,1,4,Piedimonte San Germano,98,8,Lazio,1,
